RSSI LEFT_ORIGIN,RSSI MIDDLE_ORIGIN,RSSI RIGHT_ORIGIN,RSSI TRUNK_ORIGIN,RSSI FRONTLEFT_ORIGIN,RSSI FRONTRIGHT_ORIGIN,RSSI REARLEFT_ORIGIN,RSSI REARRIGHT_ORIGIN,class
-81,-86,-88,-83,-75,-65,-94,-95,front
-64,-64,-78,-52,-87,-87,-71,-70,trunk
-66,-68,-70,-47,-89,-94,-70,-74,trunk
-75,-79,-86,-76,-67,-84,-79,-91,lock
-84,-81,-82,-80,-74,-66,-87,-82,front
-84,-78,-84,-79,-70,-70,-88,-84,front
-68,-64,-61,-63,-81,-86,-80,-84,start
-63,-74,-68,-67,-89,-90,-81,-80,start
-83,-85,-70,-83,-86,-85,-77,-71,lock
-69,-66,-60,-62,-82,-94,-83,-71,start
-75,-78,-84,-63,-89,-92,-61,-72,back
-68,-79,-84,-80,-77,-92,-77,-79,left
-73,-45,-72,-69,-78,-88,-85,-86,start
-67,-56,-61,-54,-80,-86,-79,-72,start
-50,-72,-78,-73,-76,-92,-83,-79,left
-83,-84,-93,-79,-69,-77,-89,-87,front
-55,-64,-70,-57,-74,-84,-81,-81,start
-66,-63,-68,-44,-85,-89,-64,-64,trunk
-71,-57,-59,-71,-82,-79,-85,-79,start
-69,-66,-65,-73,-88,-92,-82,-89,start
-77,-82,-94,-74,-77,-94,-80,-89,lock
-58,-64,-76,-63,-84,-96,-80,-83,left
-70,-57,-68,-61,-87,-86,-80,-71,start
-74,-71,-71,-63,-77,-80,-87,-80,start
-73,-61,-80,-72,-80,-90,-79,-84,left
-68,-67,-73,-41,-91,-96,-73,-72,trunk
-80,-78,-81,-70,-86,-96,-68,-59,back
-74,-60,-73,-72,-82,-77,-81,-87,start
-70,-62,-62,-52,-79,-86,-73,-75,start
-88,-81,-71,-83,-88,-72,-89,-76,right
-70,-66,-70,-36,-90,-90,-66,-65,trunk
-84,-90,-87,-81,-76,-75,-92,-86,lock
-84,-76,-74,-79,-85,-61,-91,-87,right
-87,-78,-71,-85,-89,-78,-94,-73,right
-88,-81,-82,-81,-71,-70,-90,-84,lock
-67,-68,-67,-43,-89,-88,-69,-63,trunk
-67,-69,-71,-39,-83,-89,-68,-65,trunk
-69,-60,-70,-65,-83,-79,-77,-84,start
-87,-75,-79,-83,-77,-70,-88,-91,front
-73,-90,-90,-77,-75,-90,-75,-88,lock
-74,-92,-96,-86,-72,-83,-84,-93,front
-75,-64,-71,-68,-82,-82,-92,-87,start
-71,-81,-84,-63,-86,-95,-56,-73,back
-70,-68,-69,-50,-81,-93,-67,-67,trunk
-88,-93,-78,-71,-92,-82,-70,-74,lock
-71,-64,-66,-52,-87,-91,-66,-65,trunk
-93,-80,-85,-83,-72,-68,-91,-84,front
-88,-89,-82,-84,-72,-70,-91,-89,lock
-73,-83,-86,-73,-82,-88,-67,-72,back
-94,-79,-74,-74,-86,-68,-94,-78,right
-42,-64,-76,-70,-84,-95,-84,-76,left
-70,-88,-86,-79,-72,-87,-76,-84,lock
-80,-81,-81,-75,-73,-77,-96,-90,front
-85,-81,-86,-76,-83,-89,-79,-72,lock
-71,-76,-92,-80,-80,-95,-72,-85,left
-64,-71,-77,-44,-89,-85,-68,-67,trunk
-76,-72,-74,-60,-86,-94,-68,-75,back
-71,-66,-71,-46,-87,-87,-73,-65,trunk
-73,-80,-86,-77,-85,-96,-65,-74,back
-71,-57,-68,-63,-85,-91,-79,-76,start
-65,-56,-73,-66,-80,-86,-84,-83,start
-78,-83,-86,-85,-72,-79,-83,-92,front
-81,-81,-75,-68,-86,-90,-71,-68,back
-75,-85,-86,-66,-81,-95,-61,-79,back
-81,-70,-68,-74,-91,-79,-80,-73,right
-82,-79,-92,-76,-65,-71,-91,-91,front
-71,-58,-70,-64,-82,-90,-78,-80,start
-73,-59,-81,-66,-85,-87,-84,-85,start
-80,-73,-73,-76,-90,-77,-85,-82,right
-69,-53,-68,-62,-85,-87,-76,-89,start
-86,-82,-88,-75,-85,-89,-79,-71,lock
-66,-61,-70,-61,-81,-91,-80,-82,start
-78,-85,-89,-79,-71,-71,-89,-84,front
-70,-59,-68,-71,-80,-86,-80,-78,start
-79,-85,-86,-81,-64,-75,-89,-93,front
-75,-56,-72,-76,-87,-82,-82,-89,start
-76,-87,-88,-77,-76,-87,-84,-90,lock
-69,-56,-85,-66,-86,-90,-76,-76,start
-73,-55,-82,-70,-80,-82,-86,-84,start
-71,-58,-76,-66,-89,-86,-82,-77,start
-81,-84,-80,-68,-81,-92,-69,-60,back
-66,-78,-82,-79,-75,-95,-73,-94,left
-76,-82,-89,-86,-80,-95,-67,-74,lock
-75,-75,-67,-46,-96,-93,-72,-68,trunk
-76,-87,-92,-85,-67,-87,-85,-91,lock
-84,-88,-86,-81,-88,-91,-85,-73,lock
-76,-58,-77,-60,-84,-84,-88,-87,start
-79,-83,-77,-75,-85,-86,-71,-66,back
-73,-55,-72,-67,-84,-84,-80,-77,start
-78,-80,-88,-75,-66,-80,-86,-87,front
-82,-80,-81,-70,-85,-92,-63,-68,back
-87,-94,-90,-85,-69,-90,-86,-93,lock
-59,-57,-74,-62,-84,-90,-80,-79,start
-66,-60,-77,-65,-80,-83,-87,-83,start
-76,-69,-65,-65,-81,-92,-80,-76,start
-83,-75,-73,-84,-87,-80,-88,-72,right
-73,-84,-87,-75,-70,-88,-80,-88,left
-66,-52,-66,-61,-85,-88,-76,-89,start
-81,-75,-84,-66,-85,-94,-63,-65,back
-78,-76,-88,-79,-77,-68,-90,-87,front
-71,-49,-72,-67,-87,-91,-81,-87,start
-64,-79,-83,-74,-71,-91,-71,-81,left
