RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN;COUNTER FLAG
-85;-94;-76;-84;-72;-84;-67;-78;5
-85;-93;-75;-85;-71;-83;-67;-78;5
-85;-93;-76;-86;-71;-82;-67;-78;5
-85;-90;-75;-86;-71;-82;-67;-79;5
-85;-87;-77;-86;-70;-81;-69;-79;5
-85;-86;-77;-85;-70;-81;-71;-80;5
-85;-85;-77;-84;-70;-81;-71;-80;5
-85;-85;-77;-84;-70;-81;-71;-80;5
-85;-85;-77;-84;-70;-81;-71;-80;5
-85;-85;-77;-82;-70;-80;-76;-81;5
-85;-87;-77;-82;-71;-78;-78;-80;5
-88;-86;-77;-82;-71;-78;-78;-80;5
-88;-86;-78;-81;-71;-79;-83;-80;5
-88;-87;-77;-82;-71;-80;-83;-78;5
-87;-86;-77;-82;-73;-80;-71;-78;5
-87;-86;-77;-82;-71;-80;-71;-78;5
-87;-85;-77;-81;-72;-81;-72;-78;5
-87;-86;-77;-82;-72;-81;-72;-78;5
-87;-86;-77;-82;-72;-80;-73;-78;5
-87;-86;-77;-82;-72;-80;-73;-77;5
-87;-86;-77;-82;-72;-80;-73;-77;5
-88;-87;-77;-83;-72;-80;-77;-78;5
-88;-88;-77;-84;-70;-82;-77;-78;5
