COUNTER FLAG;RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN
129;-93.94915254237289;-77.00847457627118;-77.49152542372882;-74.41525423728814;-67.90677966101696;-94.39830508474576;-61.16949152542373;-77.20338983050847
130;-82.28695652173913;-84.00869565217391;-71.73913043478261;-76.84347826086956;-69.78260869565217;-90.97391304347826;-55.278260869565216;-78.56521739130434
131;-85.11926605504587;-84.09174311926606;-70.53211009174312;-75.11009174311927;-69.03669724770643;-93.5229357798165;-57.3394495412844;-72.40366972477064
132;-84.8695652173913;-78.4608695652174;-72.50434782608696;-71.27826086956522;-65.14782608695653;-92.44347826086957;-55.87826086956522;-77.01739130434783
133;-84.7304347826087;-88.3913043478261;-75.38260869565218;-72.84347826086956;-67.50434782608696;-87.66956521739131;-55.2;-71.12173913043478
134;-79.54385964912281;-91.47368421052632;-79.55263157894737;-73.5701754385965;-68.14035087719299;-91.71052631578948;-55.8859649122807;-74.00877192982456
135;-81.23636363636363;-85.9090909090909;-79.33636363636364;-79.17272727272727;-66.64545454545454;-92.66363636363636;-58.50909090909091;-68.67272727272727
136;-81.26724137931035;-86.28448275862068;-83.62931034482759;-84.54310344827586;-67.04310344827586;-90.67241379310344;-61.62068965517241;-65.13793103448276
137;-82.58407079646018;-94.7433628318584;-83.71681415929204;-81.79646017699115;-68.10619469026548;-91.52212389380531;-70.21238938053098;-70.07964601769912
138;-86.78461538461538;-94.8;-91.62307692307692;-80.78461538461538;-68.72307692307692;-93.38461538461539;-66.50769230769231;-81.95384615384616
139;-81.56302521008404;-87.4453781512605;-85.75630252100841;-80.28571428571429;-67.70588235294117;-73.10084033613445;-64.0;-83.96638655462185
140;-80.48245614035088;-89.91228070175438;-79.34210526315789;-88.02631578947368;-66.07894736842105;-80.64035087719299;-63.271929824561404;-85.49122807017544
141;-81.5701754385965;-89.51754385964912;-76.85087719298245;-86.93859649122807;-63.07017543859649;-76.05263157894737;-62.30701754385965;-83.95614035087719
142;-79.58771929824562;-82.19298245614036;-84.6842105263158;-86.98245614035088;-60.45614035087719;-71.7280701754386;-64.91228070175438;-87.85964912280701
143;-77.58620689655173;-89.28448275862068;-76.9396551724138;-84.98275862068965;-61.258620689655174;-76.26724137931035;-63.525862068965516;-80.57758620689656
144;-80.64285714285714;-84.55357142857143;-72.14285714285714;-88.3125;-68.07142857142857;-86.5625;-58.94642857142857;-81.60714285714286
145;-82.9298245614035;-89.12280701754386;-73.70175438596492;-79.71052631578948;-57.44736842105263;-85.4298245614035;-58.37719298245614;-77.6842105263158
146;-75.25;-79.06896551724138;-77.87068965517241;-77.31896551724138;-62.01724137931034;-86.59482758620689;-58.293103448275865;-87.3103448275862
147;-74.52212389380531;-76.42477876106194;-72.21238938053098;-76.29203539823008;-67.40707964601769;-89.04424778761062;-57.47787610619469;-77.47787610619469
148;-75.54464285714286;-72.82142857142857;-74.65178571428571;-74.91071428571429;-67.53571428571429;-88.49107142857143;-56.348214285714285;-72.16964285714286
149;-75.78378378378379;-79.93693693693693;-70.21621621621621;-81.16216216216216;-66.1891891891892;-95.55855855855856;-54.891891891891895;-75.72072072072072
150;-84.56521739130434;-77.10434782608695;-73.37391304347825;-76.43478260869566;-67.19130434782609;-92.88695652173914;-53.65217391304348;-77.72173913043478
151;-78.65789473684211;-78.60526315789474;-74.78070175438596;-75.56140350877193;-73.16666666666667;-91.17543859649123;-55.81578947368421;-72.14035087719299
152;-88.35652173913043;-85.80869565217391;-78.44347826086957;-76.54782608695652;-68.44347826086957;-88.6086956521739;-53.31304347826087;-79.22608695652174
153;-80.75229357798165;-81.5137614678899;-68.62385321100918;-82.44954128440367;-71.8256880733945;-85.86238532110092;-47.11009174311926;-73.89908256880734
154;-83.24369747899159;-74.95798319327731;-72.15126050420169;-74.11764705882354;-69.83193277310924;-90.38655462184875;-53.436974789915965;-78.77310924369748
155;-78.79130434782608;-90.64347826086957;-76.55652173913043;-72.41739130434783;-64.94782608695652;-90.70434782608696;-53.96521739130435;-79.8695652173913
156;-79.98260869565217;-84.91304347826087;-78.26086956521739;-73.51304347826087;-65.78260869565217;-91.84347826086956;-55.52173913043478;-81.81739130434782
157;-83.36283185840708;-92.23893805309734;-90.61946902654867;-74.4424778761062;-67.80530973451327;-90.20353982300885;-63.85840707964602;-75.26548672566372
158;-85.92173913043479;-96.33043478260869;-82.09565217391304;-82.00869565217391;-67.20869565217392;-93.95652173913044;-68.24347826086957;-70.43478260869566
159;-84.12173913043478;-97.78260869565217;-91.66956521739131;-81.63478260869566;-67.34782608695652;-90.16521739130435;-67.47826086956522;-69.01739130434783
160;-81.87610619469027;-93.30973451327434;-86.08849557522124;-87.00884955752213;-66.3716814159292;-89.35398230088495;-66.21238938053098;-67.76991150442478
161;-85.78761061946902;-90.10619469026548;-81.1858407079646;-83.15929203539822;-69.59292035398231;-87.68141592920354;-68.86725663716814;-74.99115044247787
162;-86.3970588235294;-85.20588235294117;-82.61764705882354;-83.20588235294117;-66.07352941176471;-77.3529411764706;-64.55882352941177;-85.22058823529412
163;-83.94690265486726;-83.02654867256638;-85.49557522123894;-88.76991150442478;-68.49557522123894;-72.01769911504425;-64.40707964601769;-85.01769911504425
